TYPE PRICE BALANCE
B 1704.38000000 8295.619999999999
S 1705.59000000 10001.21
B 1707.01000000 8294.199999999999
S 1710.89000000 10005.089999999998
B 1715.32000000 8289.769999999999
S 1717.30000000 10007.069999999998
B 1719.79000000 8287.279999999999
S 1721.31000000 10008.589999999998
B 1719.75000000 8288.839999999998
S 1721.52000000 10010.359999999999
B 1719.10000000 8291.259999999998
S 1721.09000000 10012.349999999999
B 1718.75000000 8293.599999999999
S 1716.62000000 10010.219999999998
B 1722.51000000 8287.709999999997
S 1718.29000000 10005.999999999996
B 1716.25000000 8289.749999999996
S 1717.17000000 10006.919999999996
B 1715.99000000 8290.929999999997
S 1715.87000000 10006.799999999996
B 1719.43000000 8287.369999999995
S 1720.74000000 10008.109999999995
B 1719.51000000 8288.599999999995
S 1715.49000000 10004.089999999995
B 1713.80000000 8290.289999999995
S 1715.69000000 10005.979999999996
B 1714.37000000 8291.609999999997
S 1716.56000000 10008.169999999996
B 1714.48000000 8293.689999999997
S 1706.34000000 10000.029999999997
B 1709.76000000 8290.269999999997
S 1712.20000000 10002.469999999998
B 1714.89000000 8287.579999999998
S 1715.10000000 10002.679999999998
B 1712.34000000 8290.339999999998
S 1713.85000000 10004.189999999999
B 1713.00000000 8291.189999999999
S 1713.39000000 10004.579999999998
B 1710.93000000 8293.649999999998
S 1709.45000000 10003.099999999999
B 1705.36000000 8297.739999999998
S 1706.99000000 10004.729999999998
B 1703.10000000 8301.629999999997
S 1705.00000000 10006.629999999997
B 1705.49000000 8301.139999999998
S 1703.99000000 10005.129999999997
B 1702.40000000 8302.729999999998
S 1706.46000000 10009.189999999999
B 1704.61000000 8304.579999999998
S 1706.61000000 10011.189999999999
B 1705.30000000 8305.89
S 1705.58000000 10011.47
B 1710.62000000 8300.849999999999
S 1714.97000000 10015.819999999998
B 1713.27000000 8302.549999999997
S 1715.95000000 10018.499999999998
B 1713.38000000 8305.119999999999
S 1716.30000000 10021.419999999998
B 1719.49000000 8301.929999999998
S 1721.59000000 10023.519999999999
B 1720.23000000 8303.289999999999
S 1716.32000000 10019.609999999999
B 1721.73000000 8297.88
S 1723.13000000 10021.009999999998
B 1719.64000000 8301.369999999999
S 1725.90000000 10027.269999999999
B 1732.28000000 8294.989999999998
S 1736.96000000 10031.949999999997
B 1733.35000000 8298.599999999997
S 1728.24000000 10026.839999999997
B 1734.21000000 8292.629999999997
S 1735.00000000 10027.629999999997
B 1732.53000000 8295.099999999997
S 1736.28000000 10031.379999999997
B 1740.41000000 8290.969999999998
S 1731.18000000 10022.149999999998
B 1726.62000000 8295.529999999999
S 1728.77000000 10024.3
B 1725.15000000 8299.15
S 1718.82000000 10017.97
B 1715.32000000 8302.65
S 1703.16000000 10005.81
B 1707.41000000 8298.4
S 1705.63000000 10004.029999999999
B 1701.52000000 8302.509999999998
S 1679.34000000 9981.849999999999
B 1681.41000000 8300.439999999999
